pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north
pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north
pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north
pond|north,pond|north,pond|north,pond|north,pond|north,,,pond|north,pond|north,,,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north
pond|north,pond|north,pond|north,pond|north,,,,,,,,,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,,,,,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north
pond|north,pond|north,pond|north,,corner|east,road|east,road|east,road|east,corner|south,,,,,pond|north,pond|north,pond|north,pond|north,,,,,,,pond|north,,,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north
pond|north,pond|north,pond|north,,road|north,,,,corner|north,road|east,road|east,road|east,corner|south,,pond|north,pond|north,pond|north,,,corner|east,road|east,road|east,road|east,bridge|east,road|east,corner|south,,pond|north,pond|north,pond|north,pond|north,pond|north
pond|north,pond|north,pond|north,,corner|north,corner|south,,,,,,,road|north,,pond|north,pond|north,,,,road|north,,,,pond|north,,road|north,,,pond|north,pond|north,pond|north,pond|north
pond|north,pond|north,pond|north,pond|north,,road|north,,,,,,,corner|north,road|east,bridge|east,road|east,road|east,road|east,road|east,corner|west,,pond|north,pond|north,pond|north,,road|north,,,pond|north,pond|north,pond|north,pond|north
pond|north,pond|north,pond|north,pond|north,pond|north,corner|north,corner|south,,,,,,,,pond|north,,,,,,,pond|north,pond|north,,corner|east,corner|west,,pond|north,pond|north,pond|north,pond|north,pond|north
pond|north,pond|north,pond|north,pond|north,pond|north,,road|north,,,,,,,pond|north,pond|north,pond|north,,,,,pond|north,pond|north,pond|north,,road|north,,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north
pond|north,pond|north,pond|north,pond|north,pond|north,,road|north,,,,,pond|north,pond|north,pond|north,pond|north,pond|north,,,,,,pond|north,,,road|north,,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north
pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,road|north,,,,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,,,,,,,,,road|north,,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north
pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,bridge|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,,,,,,,road|north,,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north
pond|north,pond|north,pond|north,pond|north,pond|north,,road|north,,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,,,corner|east,road|east,road|east,corner|west,,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north
pond|north,pond|north,pond|north,pond|north,pond|north,,corner|north,corner|south,,,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,,road|north,,,,,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north
pond|north,pond|north,pond|north,pond|north,pond|north,,,road|north,,,,,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,,road|north,,,,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north
pond|north,pond|north,pond|north,pond|north,pond|north,,,road|north,,,,,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,bridge|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north
pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,,road|north,,,,,,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,,,road|north,,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north,pond|north
